HITId,tweet,sentiment,directness,annotator_sentiment,target,group,translated tweet
1344,لازم الحرمة تشتغل  صباحكم ابتسامة,offensive,direct,indifference,gender,women,"The sanctity must work, your morning is a smile"
1345,هذا حلف الشياطين عليها وعليهم من الله مايستحقون  خنازير الاخوان وعملاء المجوس @url,hateful,direct,anger_confusion_sadness_indifference_disgust,other,other,"This is the devils’ oath against them and they deserve from God what they deserve, the pigs of the Brotherhood and the agents of the Magi @url"
1346,ليست(فاسقةً أو فاجرة او عاهرة) لمجرد أنها متبرجة نعم هى معصية لكن لا علاقة لها بعفتهاوطهرها ليس كل من أتى معصية يصبح مهدر الحق مستباح العرض,normal,indirect,sadness,other,women,"She is not (a sinner, an immoral woman, or a prostitute) just because she is adorned. Yes, it is a sin, but it has nothing to do with her chastity and purity. Not everyone who commits a sin becomes a squander of the right and an honorable act."
1347,لقد تعلمت مند زمن طويل ألا أتعارك مع خنزير لأنني بذلك سأتسخ وذلك يروق له . - جورج برنارد شو  #ادب_الشتاء,abusive_offensive,indirect,shock,other,individual,I learned a long time ago not to fight with a pig because I would get dirty and he likes it. - George Bernard Shaw #Winter_Literature
1348,@user @user @user من جد الأعلام عندنا ظالم جدا ولو انها متبرجه كان اظهروها أعلامنا كأنها محاربه ولك… @url,offensive,direct,indifference,gender,women,"@user @user @user Who is very unjust to our media figures? Even if they were adorned, our media figures would show them as if they were a warrior. And to you... @url"
1349,@user @user @user خسئت اذا صار نتنياهو مسلم عندها يصبح خنازير قم وطهران واذنابهم مسلمين,abusive_hateful,indirect,disgust,religion,other,"@user @user @user I am disappointed. If Netanyahu becomes a Muslim, then the pigs of Qom and Tehran and their tails will become Muslims."
1350,ليييه ليه ليه تخت صورة زيتونة مرت بباي دي بايره وله بايرة,disrespectful,direct,anger_disgust,other,individual,"Why, why, why did you take a picture of an olive tree that passed by, this is a beer and it has a beer"
1351,فرنسا تدعو لإنشاء مراكز لعبور اللاجئين الأفارقة في ليبيا - @url,normal,indirect,sadness,origin,african_descent,France calls for the establishment of transit centers for African refugees in Libya - @url
1352,تشبث اللاجئون بكل شيء يثبت انتماءهم كي يرثه ابناؤهم من بعدهم،هكذا أصبحت كروت المؤن وثائق تدل على الهوية والميراث،بل… @url,normal,indirect,sadness,origin,refugees,"The refugees clung to everything that proved their affiliation so that their children could inherit it after them. Thus, ration cards became documents indicating identity and inheritance, but... @url"
1353,علشان شعب وسخ بطبعه واي هري ويخهخهو ويهخوو ويلم شويه لايكس علي حساب ناس محدش عارف ظروفهم @url,hateful,direct,anger_shock_indifference_disgust,origin,other,"Because people are inherently dirty and vain, and they make fun of them and make fun of them a little. Likes at the expense of people whose circumstances no one knows @url"
1354,@user @user البغل انت يا شارب بول البعير,abusive_disrespectful,direct,anger_disgust,other,individual,"@user @user The mule, you drinker of camel urine"
1355,يستثمرون  الاجنبيات  المرتزقه,offensive,indirect,indifference,other,women,They invest foreign mercenaries
1356,@user @user @user @user @user @user ياللوح ماهو بول البعير بول الناقه وفي… @url,disrespectful,direct,disgust,other,other,"@user @user @user @user @user @user What is the urine of a camel, the urine of a camel, and in… @url"
1357,و انخرسوا منك الها لافنشها من التربية و اطلعكم من الكويت! يا خنزير عيلة خنازير! و انخرسوا ما بدّي اسمع حسكم و اذا ب… @url,offensive,direct,anger_indifference,origin,other,"Shut up and shut up, I won't stop raising you and get you out of Kuwait! O pig, family of pigs! Shut up, I don't want to hear your senses, and then... @url"
1358,@user @user @user @user @user @user بغدادي وسخ وسبق قبل كذا تطاول ع مذيعينا في لقاء تلفزيوني,abusive_disrespectful,direct,anger_disgust,origin,individual,@user @user @user @user @user @user Baghdadi is dirty and he previously insulted our broadcasters in a television interview
1359,همج رعاع شاربين بول البعير @url,offensive,indirect,anger_disgust,origin,other,Rabble savages drinking camel urine @url
1360,@user @user فيه خنازير تروح,abusive_offensive,indirect,indifference,other,other,@user @user There are pigs running around
1361,يعني هو حلو ليكم يا بتوع بول البعير يدخل دولتنا ويشتم في رموزنا ولما جمهورنا يرد عليه يبقى ازمة وفتن… @url,disrespectful,indirect,shock,other,other,"I mean, it's nice for you, you who know that camel urine enters our state and insults our symbols, and when our audience responds to it, it remains a crisis and strife... @url"
1362,@user @user @user @user ارسله مقاطع لجرايم العصملي وخرامئني وبعدين يقول لا تكثرين بول البعير زق حيشاكم مروح,hateful,indirect,indifference,other,other,"@user @user @user @user He sent him clips of Graeme Al-Asmali and Kharamini, and then he said, “Don’t make too much camel urine, your meat is spoiled.”"
1363,مطاحن البحر الاحمر التي قصفها تحالف خنازير الخليج بمساعدة تماسيح عفاش كانت تحتوي على كميات.من القمح لتلبية احتياجات… @url,fearful,direct,indifference,other,other,The Red Sea mills that were bombed by the Gulf Pig Alliance with the help of crocodiles contained quantities of wheat to meet the needs of… @url
1364,@user @user ههههههه بيشربوا بول البعير خااااام,normal,indirect,shock,origin,other,@user @user Hahahaha they drink camel urine
1365,عن داعش بدولار خنازير بني صهيون؟ومعاهدت عزو الأول الذي يسكرون اليل ويتامرون ونسائهم تهز لتغطية ويدفعون بسكره الملاي… @url,offensive,indirect,shock_disgust,origin,other,"About ISIS for the dollar of the pigs of the people of Zion? And I made a treaty with Izzu, the first who get drunk at night and conspire while their women are shaken to cover and pay the millions with his drunkenness... @url"
1366,عيب ان ترى طبيبة 30 سنة بايرة تداوي في فتاة 20 سنة بالحمل,abusive_disrespectful,indirect,sadness,other,women,It is shameful to see a 30-year-old female doctor treating a 20-year-old pregnant woman
1367,لم يكن اللاجئون الفلسطينيون عالة على أحد، ولم يكونوا عبثاً، بل كوّنوا مجتمعاً نشيطاً ومنتجاً وعاملاً، وساهموا مساهم… @url,normal,direct,sadness,other,refugees,"The Palestinian refugees were not a burden on anyone, nor were they in vain. Rather, they formed an active, productive, and working society, and they contributed... @url"
1368,@user @user @user @user مجاري يامتخلفين يابتوع بول البعير ياتيوس,hateful,direct,shock,origin,other,"@user @user @user @user Sewage system, you retarded people, you who buy camel urine, Jesus"
1369,#تطاول_نعمان_كورتلموش  يدك نجسه وطينتك طينه خنزير تربى على يد يهودي وتتكلم عن بيت الله ايها الداعر؟؟؟؟,offensive,indirect,shock,religion,individual,"#Tataul_Naman_Kortalmoush Your hand is unclean, your clay is the clay of a pig raised by a Jew, and you talk about the House of God, you motherfucker????"
1370,رباطابية بايرة جابو ليها عريس ،,abusive_disrespectful,indirect,indifference,gender,women,"Rabatabiya Bayra brought her a groom,"
1371,@user @user @user @user @user تسنيم ي بايرة,normal,indirect,indifference,other,other,@user @user @user @user @user Tasnim Ya Bayra
1372,@user @user @user @user @user @user كما قلت واكرر بول البعير ومجا… @url,offensive,indirect,indifference,origin,arabs,"@user @user @user @user @user @user As I said and I repeat, camel urine and... @url"
1373,#كلب #عمة #خنزير ابي عمه من الغربية تنيكني,disrespectful,indirect,shock,other,individual,#dog #aunt #pig My father’s uncle from the West fucks me
1374,@user @user @user ومصر مش لاهل امك ولا بلد ابوك مصر للمصريين ياخنزير البنا..  وانت بقي هربان في… @url,offensive,direct,indifference,origin,individual,"@user @user @user And Egypt is not for your mother’s family nor your father’s country. Egypt is for the Egyptians, you pig.. and you are still running away... @url"
1375,@user @user @user جامعتنا الموقره ساحبين على شي اسمه ساحه اهم شي داخل الكليات ولا برا ولا يزق خنزير ما نظفو,offensive,indirect,indifference,other,other,"@user @user @user Our esteemed university is in love with something called an arena. The most important thing is inside the colleges, not outside, and not a pig that has not been cleaned."
1376,قوووووووووول خنازير افرح يا المو,offensive,indirect,shock,other,other,"Say pigs, rejoice, mother"
1377,امال مضايقين من التحرش ليه بقا ؟! @url,fearful_normal,indirect,sadness,gender,women,"Amal is harassed by harassment, why is it?! @url"
1378,من فوائد بول البعير تحقيق اعلى مراتب الفشل حتى في ابسط العمليات السرية للاستخبارات كعملية  #اغتيال_خاشقجي التي فضحت… @user,abusive_hateful,direct,shock,origin,other,"One of the benefits of camel urine is achieving the highest levels of failure even in the simplest secret intelligence operations, such as the #Khashoggi_assassination operation, which was exposed… @user"
1379,@user @user لا بالعكس اغلبهم ناس متبريين ولسانهم ينقط عسل من الاخت غادة الي لسانهم وسخ قلة وهذي القلة موجوده… @url,disrespectful_normal,indirect,sadness,gender,women,"@user @user No, on the contrary, most of them are arrogant people and their tongues drip with honey. From Sister Ghada, their tongues are dirty, few, and this few exist... @url"
1380,لا تحاولين تلميع ملتكم النجسة,abusive_disrespectful_hateful_normal,indirect,disgust,other,other,Do not try to polish your impure religion
1381,والشيعة اكلي روث وماصي بول الحمير,disrespectful,direct,indifference,religion,other,Shiites eat dung and suck donkey urine
1382,سيد عبد الحفيظ : الاهلى على موعد جديد من التاريخ بدورى ابطال افريقيا,normal,indirect,shock,other,individual,Sayed Abdel Hafeez: Al-Ahly is on a new date in history in the African Champions League
1383,هناك محجبة سيئة الخلق! وهناك ملتحٍ فاسد! وتلك متبرجة حسنة الخلق! وأعرف حليقًا أفضل في التعامل م…,normal,indirect,shock,origin,individual,There is a veiled woman with bad manners! And there is a corrupt bearded man! And that one is so well-mannered and well-mannered! I know a better person to deal with...
1384,@user @user معلش سؤال..الكائن الابيض دا نوعه ايه؟؟؟الباقي خنازير واضحة المعالم,normal,indirect,shock,origin,other,"@user @user Sorry, what kind of white creature is this??? The rest are clearly defined pigs."
1385,@user @user انقلي لنا البشائر عن دهس خنازير المجوس,abusive_hateful,direct,indifference,other,other,@user @user Tell us the good news about the Zoroastrian pigs being run over
1386,يا جماعة بكل احترام و محبة فكروا بضحايا التحرش الجنسي و الاغتصاب بس تعملو شير لاراء و صور . ممكن تحطو الهاشتاغ اول… @url,normal,direct,shock,other,other,"Guys, with all respect and love, think about the victims of sexual harassment and rape, but share the opinions and pictures. Can you put the hashtag first... @url"
1387,متقلين السكرة بشرب بول البعير @url,disrespectful,indirect,indifference,origin,other,You can get drunk by drinking camel urine @url
1388,@user @user @user بول البعير اطهر واشرف من حثالة الشيعه واتباعهم,abusive_hateful,direct,disgust,religion,other,@user @user @user Camel urine is purer and more honorable than the Shiite scum and their followers
1389,اسطورة يا ميلنر اول خنزير احبه,offensive,indirect,indifference,other,individual,"A legend, Milner, the first pig I loved"
1390,@user يا خنازير نفس التغريدة اللأحقة @url,abusive_hateful,direct,shock,other,other,@user you pigs same as the next tweet @url
1391,محاضرة التحرش والابتزاز كلية الحقوق والعلوم السياسية نادي القانون مدرج 26 @url,normal,indirect,indifference,other,other,"Lecture on harassment and blackmail, Faculty of Law and Political Science, Law Club, Grade 26 @url"
1392,@user @user @user الانجاز الوحيد له القواده والانحلال بخصوص الحريم اما الرجال خلاكم مثل البعارين شغل… @url,disrespectful,direct,disgust,other,other,"@user @user @user The only achievement for him is pimping and promiscuity regarding the harem, but the men left you like disgraces, a job... @url"
1393,في تونس فقط : التلميذة مخطوبة و الأستاذة بايرة هههههه,offensive,indirect,shock,gender,women,In Tunisia only: The student is engaged and the teacher is Bayra hahaha
1394,@user @user اي نقاش مع من يظن ان شرب بول البعير فيه فائدة وان نبيه المغتصب للجواري والسبايا والاطفال… @url,abusive_hateful,direct,disgust,religion,other,"@user @user Any discussion with those who think that drinking camel urine is beneficial and that his prophet is the rapist of female slaves, captives, and children... @url"
1395,من ايام ما جد تركي كان مدمن بول البعير ويقف مع عبد… @url,offensive,direct,indifference,origin,other,"Once upon a time, Turki’s grandfather was addicted to camel urine and stood with Abdul… @url"
1396,صباح الخير لكل الناس الا اللي بحكو انه لبس البنت هو سبب التحرش,disrespectful_normal,indirect,anger_confusion_fear_indifference_sadness,other,women,"Good morning to all people, except for those who say that a girl’s clothing is the cause of harassment"
1397,طيب ليتوك وهيتشول وراهم خنازير ؟,disrespectful,indirect,indifference,other,other,"Ok, Leeteuk and Heechul think they are pigs?"
1398,لا تثق بمن قال لك انه صديقك فبعضهم ادعى بأنه أخاك وما كان الا خنزير @url,abusive_hateful,indirect,sadness,other,individual,"Do not trust anyone who tells you that he is your friend, as some of them claimed to be your brother and were nothing but a pig @url"
1399,كأن الدفاع عن الست حاجه محرمه و غير مرغوب المناقشه فيها و دي عادات غربيه انما احنا هنا هندوس علي الست و نطلع ميتين… @url,normal,indirect,indifference_disgust,gender,women,"It is as if defending a woman is something forbidden and it is not desirable to discuss it, and these are Western customs. Rather, here we are Hindus who attack women and turn up dead... @url"
1400,@user @user @user @user على فكره بول البعير يا جاهل يا متخلف يا حمار انظف واطهر منك يا حقير,hateful,direct,shock,origin,individual,"@user @user @user @user By the way, the camel’s urine, you ignorant, you retarded, you donkey, is cleaner and purer than you, you bastard."
1401,@user ناهق ياحمار لين تموت فطيس زى اى خنزير نجس يانجس,hateful,indirect,shock,other,individual,"@user Bray, you donkey!"
1402,@user @user @user ههههههههههه لماذا لم تقول آمين يا خنزير ؟,disrespectful,indirect,shock,other,individual,"@user @user @user Hahahahahaha why didn't you say Amen, you pig?"
1403,@user @user @user @user انت ماعرفت  تضب زبالتك يابو عقل والا فيه احد يعيش بين وسخ غير عقول ناق… @url,abusive_disrespectful,direct,anger_disgust,origin,individual,"@user @user @user @user You didn’t know how to organize your garbage, Abu Aql, otherwise there is someone living among the filth of other than the minds of a scavenger... @url"
1404,ليش اغلبية الحريم ما يعرفون يسوقون مثل البشر!!! وفوق هذا كله تلقاها مشغله العالي وفاجره عيون خلق الله وتسوق عادي!!,normal,indirect,indifference_disgust,gender,women,"Why do the majority of harems not know how to drive like humans!!! On top of all of this, she received her high-quality workplace, the immoral eyes of God’s creation, and normal shopping!!"
1405,خنازير مش لاقي كلمة توصفهم سوي الخنازير ... جمهور الزمالك المريض,disrespectful,indirect,shock,other,other,"Pigs, I can't find a word to describe them other than pigs... Sick Zamalek fans"
1406,يجي خنزير زيه يصير له البر؟ وييين يبووووي شوية عقل… @url,offensive,indirect,shock,origin,individual,Will a pig like him come and become righteous? What a little sense... @url
1407,هو سأل وانا جاوبت روح روح اشرب بول البعير يا عنز,offensive,indirect,disgust,origin,other,"He asked and I replied, “Go, drink camel’s urine, you goat.”"
1408,هذه هي رجولة وبسالة خنازير الحوثة التي يتغنى بها إعلامهم..,disrespectful,indirect,indifference,other,other,This is the manhood and bravery of the Houthi pigs that their media sings about.
1409,ياخبرة ردو ع هذا بول البعير @user,disrespectful,direct,indifference,other,other,"Hey expert, answer this camel urine @user"
1410,@user @user @user روحي اشربي بول البعير وسدي ناعك ما حدا سألك ههههه عاهرة آل سعوووور,hateful,direct,shock,origin,individual,"@user @user @user Go drink the camel’s urine and stop drinking, no one asked you haha, the whore of Al Sauoor"
1411,قلتا ليو كيف 15سنه دى م قاصر على حسب معتقدتك ودفاع عن حقوق المراه وال humanity's الجواك وكدا قال لى ي زووول حقوق مر… @url,normal,direct,shock,other,individual,"You told Leo how 15 years old is a minor, according to your belief, and defending women’s rights and humanity’s rights, and he also said to me, “Zool, women’s rights… @url"
1412,عاهرة # متسيبة # خامجة # مسترجلة # موسطاشة # عورة # ناق… @url,offensive,indirect,indifference_disgust,other,women,whore
1413,@user @user @user الخربانة ما يحتاج لها محرم اصلان ماتدري عن الدين تمشي في الشارع متبرجه الحمد… @url,abusive_normal,direct,indifference,gender,women,"@user @user @user The ruined woman is not needed by Muharram Aslan, who does not know about religion, walks in the street wearing adorned with praise... @url"
1414,اخاف من الناس اللي لسانهم حلو معي هلا يا عمري يا حبيبتي وما شابه ذلك احسهم خبيثين وبرضو اللي لسانهم وسخ اكرههم كوني… @url,normal,indirect,indifference,other,other,"I am afraid of people whose tongues are sweet to me. Welcome, my life, my love, and the like. I feel they are malicious, as well as those whose tongues are dirty. I hate them as... @url"
1415,@user @user @user الحريم هم اللي يتوزون ورا التركي والايراني عشان يحمون نفسهم,hateful,indirect,disgust,origin,women,@user @user @user The harems are the ones who stand behind the Turks and Iranians to protect themselves
1416,فكره التحرش دي بتبقي عامله زي ال حد اللي ماشي جعان و لقي مطعم حاطط سيخ الشاورما بره ، ف راح سرق السيخ ده و قال م هم… @url,offensive,indirect,indifference,other,other,"This idea of ​​harassment is like someone who walked in hungry and found a restaurant with a shawarma skewer outside, so he stole that skewer and said, “What’s wrong?”"
1417,ترى ما رأي الملحدين و العلمانيين العرب عندما يصبح شراب بول البعير دواء يباع في صيدليات دول الغرب المتحضر !!,abusive_disrespectful,direct,indifference_disgust,other,other,What do Arab atheists and secularists think when drinking camel urine becomes a medicine sold in pharmacies in civilized Western countries!!
1418,@user هذا المستشار الكلب خنزير ومرتد,abusive_hateful,direct,anger_disgust,other,individual,@user This dog advisor is a pig and an apostate
1419,@user @user @user شاربين بول البعير ،رعاع وهمج وبدو،كفار قريش ،جرابيع الصحراء .. كل هذا وتبونا نحسن ا… @user,offensive,indirect,disgust,other,other,"@user @user @user Drinking camel urine, rabble, savages and Bedouins, infidels of Quraysh, desert gerbils... all of this and let us improve... @user"
1420,حرب شرسه على المرآه وحجابها من كل مكان الاعلام التعليم الطب تسهيل التبرج وتمرير كشف الوجه ب… @url,normal,direct,sadness,other,women,"A fierce war on women and their veils from everywhere, the media, education, medicine, facilitating adornment and passing face-revealing with… @url"
1421,@user @user اللاجئون محتلين البلد,abusive_disrespectful,indirect,anger_disgust,origin,refugees,@user @user The refugees are occupying the country
1422,بيض الله وجهك ولو أن كل ملقلته قليل في حق خنازير الحقيرة خونة العروبة والإسلام @url,offensive,direct,indifference,other,individual,"May God bless your face, even if every bit he says is a little against the vile pigs who are traitors to Arabism and Islam @url"
1423,أنا عارف أن الحريم بجايات وبسرعه يزعلون ، فإذا شفت وحده على خطأ لا تقدم لها نصيحه ..,normal,indirect,indifference,gender,women,"I know that women come and get upset quickly, so if someone sees someone making a mistake, do not give her advice."
1424,@user هههههههه خنزير نجس اتفووووووو عليه,offensive,direct,shock,other,individual,@user Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha unclean pig
1425,حمامات وبالوعات جري يرفضون اﻻعتذار لي على اﻻساءات والالفاظ السوقية التي تلفظوها ضدي الحمام يظل حمام جري وسخ طول حياته,offensive,indirect,indifference,other,other,Running bathrooms and sewers refuse to apologize to me for the insults and vulgar language they uttered against me. The bathroom will remain a dirty running bathroom for the rest of its life.
1426,طبعا التويته ودوها الفيس و تقريبا 90% من تعليقاتهم اني زولة بايره و فاكه العلاقه شنو ما عارفه و كميه شتايم كفيلة بإ… @url,normal,indirect,confusion_indifference,other,other,"Of course, the tweet was made on Facebook, and almost 90% of their comments say that I am a lost woman and I am the fruit of the relationship. I don’t know what, and the amount of insults is enough to… @url"
1427,@user @user @user وينك. رح دلك على كافيه جديد هون قريب لبيتك. بيحطلك مع بول البعير ثلج. رو… @user,hateful,direct,indifference,origin,individual,@user @user @user Where are you? I will direct you to a new cafe near your home. It gives you snow with the camel's urine. Ru… @user
1428,@user ما انصحك العن ناس في التدريس الحريم,offensive,indirect,anger_disgust,gender,women,@user I do not advise you to curse people in the harem
1429,مشكلتك التحرش ..اذا موافقه على المهرجان تواجدي فيه و…,normal,indirect,indifference,other,individual,"Your problem is harassment...if you agree to the festival, attend it and..."
1430,@user @user @user انت هربان من جيشك السوري يا خنزير,hateful,direct,shock,origin,individual,"@user @user @user You are running away from your Syrian army, you pig"
1431,@user @user الان يفرون كالجرذان من الحديده. خنازير ايران الكلاب. كيف مليشيات جهله تحكم اليمن لا يمكن ابد,abusive_hateful,direct,disgust,origin,other,@user @user Now they are fleeing like rats from iron. Iran pigs dogs. How ignorant militias rule Yemen is never possible
1432,لو المتبرجه معتدلة الفكر كانت اقتنعت ان الحجاب فرض,normal,direct,anger_indifference,gender,women,If the woman with a modest mind would be convinced that the hijab is obligatory
1433,ما بدي كون متطفّل، أعتقد أنّهم يأكلون الضّبّ ويتعاطون بول البعير، وكفى ذلك شحار وتعتير. @url,abusive_hateful,indirect,anger_disgust,other,other,"I don't want to be an intruder. I think they eat lizards and drink camel urine, and that's enough badgering and disgrace. @url"
1434,@user @user @user اخلاقك تدل علي كمية بول البعير التي شربتها يا حافي,hateful,direct,indifference,other,individual,"@user @user @user Your morals indicate the amount of camel urine you drank, Hafi"
1435,ملعون ابو المسلسلات و الافلام اللي افقدت الرجالة غيرتها على اهلها ، و خلت الستات تتفنن في ازاي تخون اجوازها بقينا عايشين وسط خنازير مش بشر,abusive_offensive_hateful_disrespectful_normal,direct,indifference,other,other,"Cursed be the father of series and movies that made men lose their jealousy over their families, and allowed women to be creative in how to cheat on their wives. We are still living among pigs, not humans."
1436,سوسة: الاحتفاظ بحارس مركب طفولة بتهمة التحرش بطفلة الـ6 سنوات @url,normal,indirect,sadness,gender,other,Sousse: A child boat guard was detained on charges of molesting a 6-year-old girl @url
1437,الحيوانات الناطقه اللي ترسل ف الخاص كلام قذر ، ترا يمثل اخلاقك وشكلك القذر ي خنزير ي حيوان ناطق ومارح اقبل المحادثه ، وانبح ي كلب,offensive,indirect,indifference,other,other,"Talking animals that send dirty talk in private, which represents your morals and dirty appearance, like a pig, a talking animal, and I will not accept conversations, and I will bark, like a dog."
1438,مافي ولا كلبب جادد ي خنازير #معصيتي_راحتى #slave,offensive,indirect,disgust,other,other,"There is no new dog, you pigs #my_disobedience_my_comfort #slave"
1439,فان كان كلامي له مدلول على التحرش فهو ظاهر للجميع كحال صور… @url,normal,indirect,indifference,gender,women,"If my words have a connotation of harassment, then it is clear to everyone, just like pictures... @url"
1440,@user والله بول البعير أطهر من وجهك النجس يا جرثومة,hateful,direct,disgust,other,individual,"@user By God, camel urine is purer than your impure face, you germ"
1441,@user ههههههه قناة بي بي سي عربي الناطق الرسمي بإسم خنازير حزب اللات الارهابي,hateful,indirect,indifference,religion,other,"@user Hahahaha BBC Arabic channel, the official spokesman for the terrorist Al-Lat Party pigs"
1442,معتقدش العشم يؤهل اي بني ادم وسخ انه يتعامل بقلة ذوق مع بني ادم تاني يعني,disrespectful_normal,indirect,indifference,other,other,I don't think that al-Asham qualifies any human being as a dirty person to deal with other human beings in a bad manner
1443,والسلعة بايرة اذا بارت وكسدت عند صاحبها,normal,indirect,indifference,other,other,The commodity is worth it if it breaks and stagnates with its owner
1444,خليك في قوقعة شرب بول البعير بتاعتك دولة رمزها خيمة وجمل ولبن معيز,abusive_disrespectful,indirect,indifference,origin,other,"Stay in the shell of drinking your camel's urine. A country whose symbol is a tent, a camel, and goat milk"
1445,@user @user @user @user @user والله ما ينحرق قلب مؤمن مهما فعل به خنازير الخلق .....,abusive_hateful,direct,shock,other,other,"@user @user @user @user @user By God, the heart of a believer will not be burned no matter what the pigs of creation do to him....."
1446,قالت لها : هو يحب كل الحريم يعني وقفت علي !,offensive,direct,shock,gender,individual,"She said to her: He loves all the harem, so she stood up to me!"
1447,وتقوم تتصدم لو قلت ليها اني شايفاه حاجه عاديه جدا او حتت انو ما حيعرسوك اصلا ودي طبعا مصيبه بت بايره خلاص بي اعتبار… @url,offensive,direct,indifference_disgust,other,women,"She would be shocked if I told her that I thought it was something very normal, or even that they wouldn't marry you at all, and this is of course a disaster, but that's it, that's all... @url"
1448,@user @user @user رعي الغنم مهنة الأنبياء ماهي مذمة لنا وشرب بول البعير موجود عن الرسول صلى… @user,normal,indirect,indifference_disgust,other,other,"@user @user @user Herding sheep is the profession of the prophets. It is not reprehensible to us, and drinking camel’s urine is mentioned on the authority of the Messenger, may God bless him and grant him peace... @user"
1449,تاني، ليه كل ما تختلف مع امرأة في رأي - زي موضوع الحريات و المساواة و التحرش - ليه دائماً تعزي رأيها و/أو تصرفها ال… @url,normal,indirect,indifference,other,women,"Again, why every time you disagree with a woman in her opinion - such as the issue of freedom, equality, and harassment - why do you always blame her for her opinion and/or behavior... @url"
1450,تأثير شرب بول البعير على بني سلول. @url,hateful_disrespectful,indirect,anger_confusion_shock_indifference_disgust,origin,other,The effect of drinking camel urine on the Beni Salul. @url
1451,@user @user المنشار راح يقطع دولتك من الجزيرة يا خنازير عزمي و جزم الصهاينة.. يا أقذر خونة.,offensive,indirect,disgust,origin,other,"@user @user The saw will cut off your state from the island, you pigs of Azmi and the boots of the Zionists.. you dirtiest traitors."
1452,عشان تعرفون أنكم خنازير… @url,abusive_hateful,indirect,shock,origin,other,So that you know that you are pigs... @url
1453,قانون التحرش الجديد  # بلال الشملالي @url,abusive_normal,indirect,indifference,other,individual,The new harassment law #Bilal Al-Shamali @url
1454,كيف نعلم أطفالنا حماية أنفسهم من التحرش؟ @url,normal,indirect,indifference_disgust,gender,other,How do we teach our children to protect themselves from harassment? @url
1455,@user @user @user متاكد أنه  الفيديو بالأردن ؟؟!!وغريب دقة عدد حالات التحرش ١٨٠ ! مع العلم انه… @url,offensive,direct,indifference,other,other,@user @user @user Are you sure that the video is in Jordan??!! It is strange that the number of harassment cases is accurate to 180! Knowing that... @url
1456,مغربيات يحاربن التحرش بطريقة غريبة.. @url,normal,direct,indifference_disgust,other,women,Moroccan women fight harassment in a strange way.. @url
1457,@user لاعبي الكرة الافارقة معظمهم عاهرين للاسف،,abusive_disrespectful,indirect,anger_disgust,origin,african_descent,@user African football players are mostly prostitutes unfortunately.
1458,@user @user العرب صنعو شراب بول البعير     هذه بحد   ذاته  معجزه,disrespectful,indirect,indifference,origin,arabs,@user @user The Arabs made camel urine drink. This in itself is a miracle
1459,@user @user @user @user يوصي البهايم بشرب بول البعير والبقر ودمنهم كمان ماكفاهم غائط ال… @user,offensive,indirect,disgust,other,other,"@user @user @user @user He recommends that animals drink the urine of camels and cows, and their feces as well, as they do not understand the excrement of... @user"
1460,الvape بوظ سمعه الشباب يعني فين ايام التحرش الجميل @url,offensive,indirect,shock,gender,women,"Vape has ruined the reputation of young people. I mean, where are the days of beautiful harassment? @url"
1461,تجسس محارم ديوث دياثة ديوثة كلوت كلوت… @url,offensive,indirect,disgust,gender,other,Spying Incest Cuckold Cuckold Cuckold Cult… @url
1462,@user @user معها حق ماتنسى لان التحرش شي مو سهل وصعب نسيانه لكن الغريب انها مابلغت الا لما صار… @url,abusive_normal,direct,sadness_disgust,other,women,"@user @user She has the right not to forget, because harassment is something that is not easy and difficult to forget, but what is strange is that she did not report it until it happened... @url"
1463,@user @user تقصد 500 مليار دولار يا خنازير ترمب,disrespectful,direct,indifference,other,other,"@user @user You mean $500 billion, Trump pigs"
1464,خنازير ومرتزقة قناة الجزيرة ( بدي انذر حكومة الدويلة القطرية ان كل ماجلبتو من مرتزقة في قناة الفويسقة فقط كل النهيق… @url,abusive_hateful,indirect,indifference,origin,other,Pigs and mercenaries of Al Jazeera channel (I want to warn the government of the Qatari state that all the mercenaries you brought in Al Fuwaisqa channel are just braying... @url
1465,يسمحون بالاختلاط ويقولون لماذا التحرش..ويضعون النار جانب البنزين ويقولون لماذا اشتعلت..ويقربون الاكل للجائع ويقولون… @url,disrespectful_normal,indirect,sadness,gender,women,They allow mixing and say why the harassment...and they put the fire next to the gasoline and say why did it catch fire...and they bring food to the hungry and say... @url
1466,@user نملة عنده شرف أكثر من ال سلول خنازير لعنه الله عليهم وعليك,normal,direct,shock,origin,other,"@user An ant has more honor than the descendants of pigs, may God curse them and you"
1467,لحظة معلش خنتفاهم، انتي ممكن تكونين فيمنست وتناظلين عن حقوقج وتطلبين المساواة وترفضين التشيء وتنبذين التحرش وتكملين… @url,normal,direct,indifference,other,women,"Wait a minute, sorry we betrayed them. You can be a feminist, fight for your rights, demand equality, reject objectification, reject harassment, and continue... @url"
1468,@user @user @user داعس على روحة وعلى أصحاب بول البعير أما أبطال اليمن فقد اخافوة فعلاً والحقوا به العار,hateful,direct,anger_disgust,origin,other,"@user @user @user He trampled on his soul and the owners of the camel’s urine. As for the heroes of Yemen, they actually frightened him and disgraced him."
1469,أبناء المسيار و جهاد… @url,hateful_disrespectful,direct,indifference,religion,other,Sons of Misyar and Jihad… @url
